[2025-08-10 20:05:17,377] 15 root - INFO - Initiate the data ingestion
[2025-08-10 20:05:19,903] 64 root - INFO - performed train test split on the dataframe
[2025-08-10 20:05:19,903] 65 root - INFO - Exited split_data_as_train_test method of dataingestion class
[2025-08-10 20:05:19,904] 77 root - INFO - Exporting train and test file path.
[2025-08-10 20:05:20,070] 82 root - INFO - Exporting train and test file path.
[2025-08-10 20:05:20,071] 17 root - INFO - DATA ingestion is completed
[2025-08-10 20:05:20,085] 21 root - INFO - initiate the data validation
[2025-08-10 20:05:20,185] 35 root - INFO - required number of columns: 2
[2025-08-10 20:05:20,185] 36 root - INFO - Data frame has columns31
[2025-08-10 20:05:20,187] 35 root - INFO - required number of columns: 2
[2025-08-10 20:05:20,187] 36 root - INFO - Data frame has columns32
[2025-08-10 20:05:20,596] 23 root - INFO - data validation completed
[2025-08-10 20:05:20,597] 26 root - INFO - data transformation started
[2025-08-10 20:05:20,598] 64 root - INFO - Entered inititate_data_transfromation method of datatransformation class
[2025-08-10 20:05:20,598] 66 root - INFO - Data trnsformation started
[2025-08-10 20:05:20,731] 49 root - INFO - Enter the get_datatransformer method of the cls DataTransformation 
[2025-08-10 20:05:20,731] 52 root - INFO - Initialised Knn imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[2025-08-10 20:05:20,760] 55 root - INFO - entered the save_object method of mainUtilis class
[2025-08-10 20:05:20,766] 60 root - INFO - Exited the save_object method of Mainiutils class
[2025-08-10 20:05:20,771] 30 root - INFO - data transformation completed
[2025-08-10 20:05:20,771] 32 root - INFO - Model training Started
