[2025-08-10 20:07:39,113] 15 root - INFO - Initiate the data ingestion
[2025-08-10 20:07:41,574] 64 root - INFO - performed train test split on the dataframe
[2025-08-10 20:07:41,575] 65 root - INFO - Exited split_data_as_train_test method of dataingestion class
[2025-08-10 20:07:41,576] 77 root - INFO - Exporting train and test file path.
[2025-08-10 20:07:41,728] 82 root - INFO - Exporting train and test file path.
[2025-08-10 20:07:41,729] 17 root - INFO - DATA ingestion is completed
[2025-08-10 20:07:41,743] 21 root - INFO - initiate the data validation
[2025-08-10 20:07:41,864] 35 root - INFO - required number of columns: 2
[2025-08-10 20:07:41,864] 36 root - INFO - Data frame has columns31
[2025-08-10 20:07:41,866] 35 root - INFO - required number of columns: 2
[2025-08-10 20:07:41,866] 36 root - INFO - Data frame has columns32
[2025-08-10 20:07:42,247] 23 root - INFO - data validation completed
[2025-08-10 20:07:42,248] 26 root - INFO - data transformation started
[2025-08-10 20:07:42,248] 64 root - INFO - Entered inititate_data_transfromation method of datatransformation class
[2025-08-10 20:07:42,248] 66 root - INFO - Data trnsformation started
[2025-08-10 20:07:42,355] 49 root - INFO - Enter the get_datatransformer method of the cls DataTransformation 
[2025-08-10 20:07:42,355] 52 root - INFO - Initialised Knn imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[2025-08-10 20:07:42,380] 55 root - INFO - entered the save_object method of mainUtilis class
[2025-08-10 20:07:42,385] 60 root - INFO - Exited the save_object method of Mainiutils class
[2025-08-10 20:07:42,388] 30 root - INFO - data transformation completed
[2025-08-10 20:07:42,388] 32 root - INFO - Model training Started
[2025-08-10 20:09:24,586] 55 root - INFO - entered the save_object method of mainUtilis class
[2025-08-10 20:09:24,674] 60 root - INFO - Exited the save_object method of Mainiutils class
[2025-08-10 20:09:24,674] 124 root - INFO - Model trainer artifacts:ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_10_2025_20_07_33\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912796592983167, precision_score=0.9898744430943702, recall_score=0.9926888708367181), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9746274667740636, precision_score=0.968, recall_score=0.981346309813463))
[2025-08-10 20:09:24,682] 36 root - INFO - Model trainer artifacts created
